Year,Species,River,Run.Name,Total.Run,Data Source,Page,Notes
2013,Sockeye,Russian River,Late Run,100019,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2014,Sockeye,Russian River,Late Run,121704,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2015,Sockeye,Russian River,Late Run,105219,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1976,Sockeye,Kenai River,Late Run,1234346,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1977,Sockeye,Kenai River,Late Run,1916114,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1978,Sockeye,Kenai River,Late Run,1984232,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1979,Sockeye,Kenai River,Late Run,650746,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1980,Sockeye,Kenai River,Late Run,1214879,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1981,Sockeye,Kenai River,Late Run,913763,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1982,Sockeye,Kenai River,Late Run,2539635,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1983,Sockeye,Kenai River,Late Run,3636922,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1984,Sockeye,Kenai River,Late Run,1049518,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1985,Sockeye,Kenai River,Late Run,2148243,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1986,Sockeye,Kenai River,Late Run,2691046,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1987,Sockeye,Kenai River,Late Run,8572845,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1988,Sockeye,Kenai River,Late Run,5752895,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1989,Sockeye,Kenai River,Late Run,5862323,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1990,Sockeye,Kenai River,Late Run,2685215,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1991,Sockeye,Kenai River,Late Run,1682597,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1992,Sockeye,Kenai River,Late Run,7716559,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
1993,Sockeye,Kenai River,Late Run,3904145,Sockeye Harvest_MM,,Escapement plus Commercial Harvest (Drift and Setnet) plus Personal Use Harvest plus Sport Harvest
